ST_CASE,STATE_NAME,CITY_NAME,COUNTY_NAME,RUR_URB_NAME,TYP_INT_NAME,TWAY_ID,TWAY_ID2,HARM_EV_NAME,FATALS,DRUNK_DR,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERNOTMVIT,PERMVIT,PERSONS,MONTH_NAME,DAY_WEEK_NAME,WEATHER_NAME,LGT_COND_NAME,LATITUDE,LONGITUD
120001,FLORIDA,Not Applicable,ESCAMBIA,Rural,Not an Intersection,US-90,,Motor Vehicle in Transport,1,0,2,2,0,0,0,2,2,January,Tuesday,Clear,Daylight,30.5150,-87.3733
120002,FLORIDA,PEMBROKE PINES,BROWARD,Urban,Four-Way Intersection,SR-820,114 AVE,Motor Vehicle in Transport,1,1,2,2,0,0,0,2,2,January,Thursday,Cloudy,Dark - Lighted,26.0075,-80.3002
120003,FLORIDA,Not Applicable,HARDEE,Rural,Not an Intersection,SR-66,SWEETWATER ROAD,Ditch,1,0,1,1,0,0,0,1,1,January,Saturday,Cloudy,Daylight,27.4583,-81.6763
120004,FLORIDA,Not Applicable,MIAMI-DADE,Urban,Not an Intersection,SR-826,24TH ST,Concrete Traffic Barrier,1,0,1,1,0,0,0,1,1,January,Monday,Clear,Daylight,25.7480,-80.3200
120005,FLORIDA,Not Applicable,SUWANNEE,Trafficway Not in State Inventory,Not an Intersection,68TH ST,,Immersion or Partial Immersion,1,0,1,1,0,0,0,1,1,January,Saturday,Rain,Daylight,30.3263,-83.1483
120006,FLORIDA,Not Applicable,HENDRY,Rural,Not an Intersection,SR-29,,Motor Vehicle in Transport,1,0,2,2,0,0,0,2,2,January,Saturday,"Fog, Smog, Smoke",Dawn,26.5233,-81.4351
120007,FLORIDA,Not Applicable,MIAMI-DADE,Urban,T-Intersection,SR-959,PERIMETER RD,Motor Vehicle in Transport,1,0,2,2,0,0,0,2,2,January,Friday,Clear,Daylight,25.8074,-80.2892
120008,FLORIDA,PORT SAINT LUCIE,ST. LUCIE,Trafficway Not in State Inventory,Not an Intersection,FLORESTA DR,,Curb,1,1,1,1,0,0,0,2,2,January,Sunday,Clear,Dark - Lighted,27.3256,-80.3493
120009,FLORIDA,BELLE GLADE,PALM BEACH,Urban,Not an Intersection,CANAL ST,,Immersion or Partial Immersion,1,0,1,1,0,0,0,1,1,January,Sunday,Not Reported,Unknown,26.6939,-80.6087
120010,FLORIDA,WELLINGTON,PALM BEACH,Trafficway Not in State Inventory,Not an Intersection,SUNNYDALE DR,,Curb,2,1,1,1,0,0,0,2,2,January,Monday,Cloudy,Dark - Lighted,26.6449,-80.2480
120011,FLORIDA,JACKSONVILLE,DUVAL,Urban,Not an Intersection,LOSCO RD,,Curb,1,1,1,1,0,0,0,1,1,January,Sunday,Clear,Dark - Lighted,30.1719,-81.5977
120012,FLORIDA,JACKSONVILLE,DUVAL,Urban,Not an Intersection,GIRVIN RD,,Tree (Standing Only),1,1,1,1,0,0,0,1,1,January,Saturday,Clear,Dark - Lighted,30.3250,-81.4721
120013,FLORIDA,KEY BISCAYNE,MIAMI-DADE,Urban,Not an Intersection,HARBOR DR,,Tree (Standing Only),1,0,1,1,0,0,0,3,3,January,Friday,Clear,Daylight,25.6884,-80.1727
120014,FLORIDA,Not Applicable,CHARLOTTE,Urban,T-Intersection,US-17,WASHINGTON LOOP RD,Motor Vehicle in Transport,1,0,2,2,0,0,0,5,5,January,Monday,Clear,Daylight,26.9711,-81.9607
120015,FLORIDA,WILDWOOD,SUMTER,Urban,Four-Way Intersection,SR-44,POWELL RD,Motor Vehicle in Transport,1,0,3,3,0,0,0,5,5,January,Thursday,Clear,Daylight,28.8430,-82.0272
120017,FLORIDA,Not Applicable,PUTNAM,Urban,Not an Intersection,US-17/SR-15,,Guardrail Face,1,1,1,1,0,0,0,1,1,January,Wednesday,Rain,Dark - Not Lighted,29.6296,-81.5875
120019,FLORIDA,Not Applicable,MARION,Rural,Not an Intersection,CR-315,,Tree (Standing Only),1,0,1,1,0,0,0,1,1,January,Tuesday,Clear,Daylight,29.2816,-81.9816
120020,FLORIDA,Not Applicable,LEE,Rural,Not an Intersection,I-75/SR-93,ALICO RD,Concrete Traffic Barrier,1,1,1,1,0,0,0,1,1,January,Saturday,Clear,Dark - Lighted,26.4975,-81.7941
120021,FLORIDA,Not Applicable,ST. JOHNS,Rural,Not an Intersection,I-95,,Motor Vehicle in Transport,1,0,5,5,0,0,0,9,9,January,Tuesday,Rain,Dark - Not Lighted,29.7608,-81.3515
120022,FLORIDA,Not Applicable,HENDRY,Rural,Y-Intersection,CR-835,ROGERS RD,Embankment,3,0,1,1,0,0,0,4,4,January,Saturday,"Fog, Smog, Smoke",Dark - Not Lighted,26.6534,-80.9024
120023,FLORIDA,Not Applicable,ST. LUCIE,Rural,Not an Intersection,I-95,,Traffic Sign Support,1,0,1,1,0,0,0,3,3,January,Monday,Cloudy,Dark - Lighted,27.2553,-80.4184
120024,FLORIDA,Not Applicable,MONROE,Rural,Four-Way Intersection,US-1,MAKO AVE,Motor Vehicle in Transport,1,0,2,2,0,0,0,4,4,January,Monday,Clear,Daylight,24.6611,-81.4118
120025,FLORIDA,Not Applicable,ST. LUCIE,Urban,Not an Intersection,SR-91,,Motor Vehicle in Transport,1,0,2,2,0,0,0,2,2,January,Sunday,Rain,Dark - Not Lighted,27.4850,-80.5005
120026,FLORIDA,Not Applicable,HARDEE,Rural,Four-Way Intersection,STEVE ROBERTS SPECIAL,MERLE LANGFORD RD,Motor Vehicle in Transport,1,0,2,2,0,0,0,2,2,January,Friday,Clear,Daylight,27.5005,-81.7518
120027,FLORIDA,Not Applicable,PALM BEACH,Rural,Four-Way Intersection,SR-804,TURNPIKE,Motor Vehicle in Transport,1,1,2,2,0,0,0,2,2,January,Friday,Clear,Dark - Lighted,26.5279,-80.1704
120028,FLORIDA,Not Applicable,LEON,Rural,Not an Intersection,SPRINGHILL ROAD,NEW HOPE CHURCH ROAD,Tree (Standing Only),1,0,1,1,0,0,0,1,1,January,Friday,Cloudy,Daylight,30.3384,-84.3891
120029,FLORIDA,PLANT CITY,HILLSBOROUGH,Urban,T-Intersection,SR-39,ENGLISH STREET,Motor Vehicle in Transport,1,1,2,2,0,0,0,2,2,January,Thursday,Clear,Dark - Lighted,28.0274,-82.1257
120030,FLORIDA,Not Applicable,LIBERTY,Rural,T-Intersection,SR-20,CR-379A HOECAKE ROAD,Motor Vehicle in Transport,1,0,2,2,0,0,0,3,3,January,Thursday,Clear,Daylight,30.4321,-84.9483
120031,FLORIDA,Not Applicable,BAY,Rural,T-Intersection,SR-20,ROLLOHOME RD,Motor Vehicle in Transport,1,0,2,2,0,0,0,7,7,January,Friday,Clear,Daylight,30.4351,-85.3908
120032,FLORIDA,Not Applicable,UNION,Rural,Not an Intersection,SR-121,,Motor Vehicle in Transport,1,2,2,2,0,0,0,2,2,January,Friday,Cloudy,Dark - Not Lighted,30.0438,-82.2863
120033,FLORIDA,Not Applicable,HENDRY,Rural,Not an Intersection,CR-833,,Motor Vehicle in Transport,1,0,2,2,0,0,0,3,3,January,Thursday,Rain,Dark - Not Lighted,26.6956,-81.1291
120034,FLORIDA,Not Applicable,JACKSON,Rural,Not an Intersection,CR-164,,Ditch,1,0,1,1,0,0,0,1,1,January,Friday,Clear,Dark - Not Lighted,30.7922,-85.1369
120035,FLORIDA,Not Applicable,DE SOTO,Rural,Not an Intersection,AIRPORT RD,,Motor Vehicle in Transport,1,0,2,2,0,0,0,5,5,January,Wednesday,Cloudy,Daylight,27.1581,-81.8437
120036,FLORIDA,Not Applicable,HILLSBOROUGH,Urban,Not an Intersection,US-41,,Concrete Traffic Barrier,1,0,1,1,0,0,0,1,1,January,Wednesday,Clear,Daylight,27.9492,-82.4513
120037,FLORIDA,Not Applicable,ALACHUA,Rural,Not an Intersection,SR-26,,Motor Vehicle in Transport,1,0,2,2,0,0,0,4,4,January,Wednesday,Cloudy,Daylight,29.7097,-82.0848
120038,FLORIDA,Not Applicable,CHARLOTTE,Rural,Not an Intersection,SESAME RD,,Embankment,1,1,1,1,0,0,0,1,1,January,Saturday,Clear,Dark - Lighted,26.9144,-82.3044
120039,FLORIDA,Not Applicable,GILCHRIST,Rural,Not an Intersection,CR-138,,Rollover/Overturn,1,1,1,1,0,0,0,1,1,January,Sunday,Clear,Dark - Not Lighted,29.8908,-82.8336
120040,FLORIDA,Not Applicable,HERNANDO,Rural,Not an Intersection,HAYMAN ROAD,,Embankment,1,0,1,1,0,0,0,1,1,January,Saturday,Clear,Daylight,28.4519,-82.3561
120041,FLORIDA,Not Applicable,LAKE,Rural,Four-Way Intersection,SR-44,HIGHLAND LAKES RD,Motor Vehicle in Transport,1,1,2,2,0,0,0,2,2,January,Thursday,Rain,Daylight,28.9622,-81.4133
120042,FLORIDA,Not Applicable,ST. JOHNS,Rural,Not an Intersection,I-95,,Motor Vehicle in Transport,1,0,2,2,0,0,0,3,3,January,Thursday,Clear,Daylight,29.9830,-81.4597
120043,FLORIDA,Not Applicable,ORANGE,Urban,Not an Intersection,SR-91,,Motor Vehicle in Transport,1,0,3,3,0,0,0,3,3,January,Thursday,Clear,Dark - Lighted,28.4291,-81.4030
120044,FLORIDA,JACKSONVILLE,DUVAL,Urban,Not an Intersection,ST JOHNS BLUFF RD,,Immersion or Partial Immersion,1,0,1,1,0,0,0,2,2,January,Friday,Cloudy,Dark - Lighted,30.3245,-81.5230
120045,FLORIDA,Not Applicable,MARION,Urban,Not an Intersection,US-27,,Motor Vehicle in Transport,1,1,2,2,0,0,0,2,2,January,Sunday,Clear,Daylight,29.2147,-82.2016
120046,FLORIDA,Not Applicable,POLK,Urban,Not an Intersection,US-92,,Motor Vehicle in Transport,1,1,2,2,0,0,0,2,2,January,Sunday,Clear,Dark - Not Lighted,28.0272,-82.0555
120047,FLORIDA,Not Applicable,PASCO,Rural,Not an Intersection,SR-52,SECRETARIAT ROAD,Motor Vehicle in Transport,1,0,2,2,0,0,0,2,2,January,Monday,Clear,Daylight,28.3226,-82.4580
120048,FLORIDA,JACKSONVILLE,DUVAL,Urban,Not an Intersection,I-295 RAMP,,Other Object (Not Fixed),1,1,1,1,0,0,0,3,3,January,Saturday,Clear,Dark - Lighted,30.3138,-81.7677
120049,FLORIDA,JACKSONVILLE,DUVAL,Urban,Not an Intersection,I-295,,Motor Vehicle in Transport,1,1,2,2,0,0,0,2,2,January,Monday,Clear,Dark - Lighted,30.1665,-81.5558
120050,FLORIDA,Not Applicable,CLAY,Rural,Four-Way Intersection,SR-23,OAKLEAF PLANTATION PKWY,Traffic Sign Support,1,1,1,1,0,0,0,2,2,January,Saturday,Clear,Dark - Not Lighted,30.1594,-81.8314
120051,FLORIDA,Not Applicable,NASSAU,Rural,Not an Intersection,CR-108,,Motor Vehicle in Transport,1,0,2,2,0,0,0,2,2,January,Tuesday,Clear,Daylight,30.5580,-81.8655
120053,FLORIDA,GAINESVILLE,ALACHUA,Urban,Not an Intersection,I-75,,Rollover/Overturn,1,0,1,1,0,0,0,1,1,January,Monday,Clear,Dark - Not Lighted,29.6349,-82.3983
120054,FLORIDA,Not Applicable,MARION,Rural,Not an Intersection,ANTHONY RD,,Utility Pole/Light Support,1,1,1,1,0,0,0,1,1,February,Monday,Cloudy,Dark - Not Lighted,29.2522,-82.1336
120055,FLORIDA,Not Applicable,VOLUSIA,Urban,Not an Intersection,SR-44,,Culvert,1,1,1,1,0,0,0,1,1,January,Friday,Not Reported,Dark - Not Lighted,29.0189,-81.2191
120056,FLORIDA,Not Applicable,COLLIER,Rural,Not an Intersection,SR-29,,Motor Vehicle in Transport,1,0,2,2,0,0,0,2,2,January,Sunday,Clear,Daylight,25.9930,-81.3475
120057,FLORIDA,Not Applicable,BREVARD,Rural,Not an Intersection,SR-528,,Guardrail Face,1,0,3,3,0,0,0,3,3,January,Wednesday,Rain,Dark - Not Lighted,28.4527,-80.8977
120058,FLORIDA,Not Applicable,SEMINOLE,Rural,Not an Intersection,WEATHERSFIELD AVENUE,,Curb,1,0,1,1,0,0,0,2,2,January,Friday,Rain,Dark - Not Lighted,28.6587,-81.4067
120059,FLORIDA,Not Applicable,LAKE,Rural,Four-Way Intersection,CR-42,CR-439,Motor Vehicle in Transport,1,0,2,2,0,0,0,4,4,January,Sunday,Cloudy,Dark - Not Lighted,28.9621,-81.5948
120060,FLORIDA,Not Applicable,HENDRY,Rural,Not an Intersection,SR-29,,Motor Vehicle in Transport,1,0,3,3,0,0,0,4,4,January,Monday,Clear,Dark - Not Lighted,26.5736,-81.4362
120061,FLORIDA,MIAMI,MIAMI-DADE,Urban,Not an Intersection,SR-821 RAMP,,Guardrail Face,1,0,1,1,0,0,0,3,3,January,Sunday,Clear,Daylight,25.7775,-80.3902
120062,FLORIDA,Not Applicable,ORANGE,Urban,Not an Intersection,ORANGE AVENUE,,Utility Pole/Light Support,1,1,1,1,0,0,0,2,2,January,Sunday,Cloudy,Dark - Lighted,28.3727,-81.3777
120063,FLORIDA,Not Applicable,ESCAMBIA,Urban,Not an Intersection,BLOSSOM TRAIL,,Fence,1,1,1,1,0,0,0,1,1,January,Sunday,Clear,Dark - Not Lighted,30.4826,-87.2726
120065,FLORIDA,Not Applicable,MIAMI-DADE,Urban,Not an Intersection,SR-826,,Rollover/Overturn,1,1,1,1,0,0,0,1,1,January,Saturday,Cloudy,Dark - Lighted,25.9269,-80.2317
120066,FLORIDA,Not Applicable,VOLUSIA,Rural,Not an Intersection,US-1,,Utility Pole/Light Support,1,1,1,1,0,0,0,1,1,January,Sunday,Cloudy,Dark - Not Lighted,28.7947,-80.8816
120067,FLORIDA,Not Applicable,MIAMI-DADE,Urban,Four-Way Intersection,296TH ST,150TH AVE,Motor Vehicle in Transport,2,0,2,2,0,0,0,3,3,January,Tuesday,Clear,Dark - Not Lighted,25.4921,-80.4345
120068,FLORIDA,Not Applicable,DE SOTO,Rural,Not an Intersection,SR-70,,Motor Vehicle in Transport,2,0,2,2,0,0,0,4,4,January,Sunday,Rain,Dark - Not Lighted,27.2093,-81.7327
120069,FLORIDA,Not Applicable,ST. JOHNS,Rural,Four-Way Intersection,ISAACSON AVE,YELVINGTON ROAD,Motor Vehicle in Transport,2,1,2,2,0,0,0,4,4,January,Saturday,Cloudy,Dark - Not Lighted,29.6305,-81.4951
120070,FLORIDA,Not Applicable,CLAY,Rural,Not an Intersection,LONG HORN RD,SHORT HORN RD,Motor Vehicle in Transport,1,2,2,2,0,0,0,2,2,January,Wednesday,Clear,Dark - Not Lighted,30.1150,-81.9616
120071,FLORIDA,NORTH PORT,SARASOTA,Urban,Not an Intersection,I-75,,Motor Vehicle in Transport,1,0,3,3,0,0,0,6,6,January,Sunday,Cloudy,Daylight,27.0609,-82.0859
120072,FLORIDA,Not Applicable,PASCO,Rural,T-Intersection,US-41,LEONARD ROAD,Motor Vehicle in Transport,1,0,2,2,0,0,0,3,3,January,Friday,Clear,Daylight,28.1888,-82.4663
120073,FLORIDA,Other,PALM BEACH,Rural,Four-Way Intersection,SR-704,SR-809,Motor Vehicle in Transport,1,0,2,2,0,0,0,5,5,January,Sunday,Rain,Other,26.7069,-80.1111
120075,FLORIDA,Not Applicable,COLLIER,Rural,Not an Intersection,CR-31,,Motor Vehicle in Transport,1,0,3,3,0,0,0,3,3,January,Thursday,Rain,Dark - Lighted,26.1635,-81.7671
120076,FLORIDA,Not Applicable,INDIAN RIVER,Rural,Not an Intersection,41ST STREET,,Fence,1,1,1,1,0,0,0,3,3,January,Saturday,Clear,Dark - Lighted,27.6685,-80.4268
120078,FLORIDA,JACKSONVILLE,DUVAL,Urban,Not an Intersection,I-295,,Rollover/Overturn,1,1,1,1,0,0,0,1,1,January,Friday,Clear,Dark - Lighted,30.2530,-81.5116
120079,FLORIDA,Not Applicable,MIAMI-DADE,Urban,Not an Intersection,SR-826,,Concrete Traffic Barrier,1,1,1,1,0,0,0,2,2,January,Saturday,Clear,Dark - Lighted,25.7699,-80.3206
120080,FLORIDA,Not Applicable,HERNANDO,Rural,Not an Intersection,ANDERSON SNOW ROAD,,Motor Vehicle in Transport,1,1,4,4,0,0,0,4,4,January,Friday,Clear,Daylight,28.4415,-82.4860
120081,FLORIDA,ISLAMORADA,MONROE,Urban,Not an Intersection,US-1,,Motor Vehicle in Transport,1,0,3,3,0,0,0,15,15,January,Saturday,Clear,Daylight,24.9521,-80.5877
120082,FLORIDA,Not Applicable,PINELLAS,Urban,Not an Intersection,STARKEY RD,,Motor Vehicle in Transport,1,0,2,2,0,0,0,2,2,January,Saturday,Clear,Daylight,27.9092,-82.7623
120083,FLORIDA,Not Applicable,JEFFERSON,Rural,Not an Intersection,CR-158,,Ditch,1,1,1,1,0,0,0,1,1,January,Friday,Clear,Dusk,30.4811,-83.9980
120084,FLORIDA,Not Applicable,MADISON,Rural,Not an Intersection,ROCKY FORD ROAD,,Fell/jumped from Vehicle,1,1,1,1,0,0,0,1,1,January,Saturday,Clear,Dark - Not Lighted,30.6222,-83.3825
120085,FLORIDA,Not Applicable,PASCO,Rural,Not an Intersection,KITTEN TRL,,Motor Vehicle in Transport,1,0,2,2,0,0,0,3,3,January,Wednesday,Cloudy,Daylight,28.3736,-82.6230
120086,FLORIDA,Not Applicable,SARASOTA,Rural,Not an Intersection,I-75,,Guardrail Face,1,0,1,1,0,0,0,1,1,January,Sunday,Cloudy,Daylight,27.0679,-82.0937
120087,FLORIDA,FRUITLAND PARK,LAKE,Urban,T-Intersection,CR-468,SOUTH AVE,Motor Vehicle in Transport,1,0,2,2,0,0,0,5,5,January,Wednesday,Clear,Dark - Not Lighted,28.8364,-81.9162
120088,FLORIDA,Not Applicable,CLAY,Rural,Four-Way Intersection,US-17,VILLAGE SQUARE PKWY,Utility Pole/Light Support,1,0,1,1,0,0,0,1,1,February,Monday,Clear,Dark - Lighted,30.0797,-81.7068
120089,FLORIDA,DAVIE,BROWARD,Urban,Not an Intersection,I-75,,Motor Vehicle in Transport,1,1,2,2,0,0,0,4,4,January,Saturday,"Fog, Smog, Smoke",Dark - Lighted,26.0355,-80.3522
120090,FLORIDA,OAK HILL,VOLUSIA,Urban,Not an Intersection,BROOKS CIR,,Tree (Standing Only),1,1,1,1,0,0,0,1,1,February,Sunday,Clear,Daylight,28.8788,-80.8612
120092,FLORIDA,Not Applicable,OSCEOLA,Urban,Four-Way Intersection,PLEASANT HILL RD,BRIGHTON LAKES BLVD,Motor Vehicle in Transport,1,1,2,2,0,0,0,3,3,February,Thursday,Clear,Dark - Lighted,28.2261,-81.4390
120093,FLORIDA,Not Applicable,ALACHUA,Urban,Four-Way Intersection,SR-331,SR-25,Motor Vehicle in Transport,1,0,2,2,0,0,0,3,3,January,Thursday,Rain,Daylight,29.6150,-82.3402
120094,FLORIDA,Not Applicable,WALTON,Rural,Not an Intersection,I-10,,Tree (Standing Only),1,0,1,1,0,0,0,1,1,January,Friday,Cloudy,Daylight,30.6911,-86.0841
120095,FLORIDA,Not Applicable,FRANKLIN,Rural,Not an Intersection,SR-300,,Traffic Sign Support,1,1,1,1,0,0,0,1,1,January,Wednesday,Clear,Dark - Not Lighted,29.6655,-84.8644
120096,FLORIDA,JACKSONVILLE,DUVAL,Urban,Four-Way Intersection,US-17,RAMP TO EDGEWOOD AVE,Motor Vehicle in Transport,1,0,2,2,0,0,0,2,2,February,Sunday,Clear,Daylight,30.3276,-81.7310
120097,FLORIDA,Not Applicable,INDIAN RIVER,Rural,Not an Intersection,JUNGLE TRAIL,,Tree (Standing Only),1,1,1,1,0,0,0,3,3,February,Tuesday,Clear,Daylight,27.7730,-80.4044
120098,FLORIDA,Not Applicable,ORANGE,Urban,Four-Way Intersection,ORLANDO CENTRAL PKWY,LAKE ELLENOR DR,Curb,1,1,2,1,1,0,1,1,2,January,Tuesday,Clear,Dark - Lighted,28.4636,-81.4013
120099,FLORIDA,Not Applicable,SUWANNEE,Rural,Not an Intersection,US-27,,Culvert,1,0,1,1,0,0,0,1,1,February,Tuesday,"Fog, Smog, Smoke",Daylight,29.9530,-82.9038
120100,FLORIDA,Not Applicable,BREVARD,Urban,Four-Way Intersection,SR-520,PLUMOSA STREET,Motor Vehicle in Transport,1,0,2,2,0,0,0,4,4,February,Friday,Clear,Dark - Lighted,28.3572,-80.6925
120101,FLORIDA,Not Applicable,JACKSON,Rural,Not an Intersection,CR-162,,Rollover/Overturn,1,0,1,1,0,0,0,1,1,February,Monday,"Fog, Smog, Smoke",Dawn,30.8761,-85.2922
120102,FLORIDA,Not Applicable,ORANGE,Urban,Not an Intersection,SR-417 SB,,Rollover/Overturn,1,0,2,2,0,0,0,2,2,February,Tuesday,Cloudy,Daylight,28.4945,-81.2434
120103,FLORIDA,OCALA,MARION,Urban,T-Intersection,60TH AVE,20TH ST,Motor Vehicle in Transport,1,0,3,3,0,0,0,8,8,February,Wednesday,Clear,Daylight,29.1679,-82.2186
120104,FLORIDA,Not Applicable,HERNANDO,Urban,Not an Intersection,IVYDALE RD,,Tree (Standing Only),1,0,1,1,0,0,0,1,1,March,Tuesday,Clear,Daylight,28.4572,-82.6074
120105,FLORIDA,Not Applicable,SANTA ROSA,Rural,Not an Intersection,I-10,,Rollover/Overturn,1,1,1,1,0,0,0,1,1,February,Thursday,Clear,Dark - Not Lighted,30.6816,-86.8069
120106,FLORIDA,Not Applicable,BAKER,Rural,Not an Intersection,CR-127,,Motor Vehicle in Transport,1,0,2,2,0,0,0,3,3,January,Sunday,Clear,Daylight,30.4069,-82.2286
120107,FLORIDA,JACKSONVILLE,DUVAL,Urban,Not an Intersection,SR-134,,Railway Vehicle,1,0,1,1,0,0,0,1,1,January,Thursday,Clear,Dark - Not Lighted,30.2477,-81.6982
120108,FLORIDA,OCALA,MARION,Urban,Four-Way Intersection,CR-200A,28 ST,Motor Vehicle in Transport,1,0,2,2,0,0,0,3,3,February,Thursday,Clear,Dawn,29.2152,-82.1259
120109,FLORIDA,TITUSVILLE,BREVARD,Urban,Four-Way Intersection,SR-405,WINDOVER TRAIL,Motor Vehicle in Transport,1,0,3,3,0,0,0,5,5,February,Saturday,Clear,Daylight,28.5539,-80.8440
120110,FLORIDA,Not Applicable,MANATEE,Urban,Not an Intersection,RIVER CLUB BLVD,,Utility Pole/Light Support,1,0,1,1,0,0,0,1,1,February,Monday,Cloudy,Daylight,27.4233,-82.4330
120111,FLORIDA,JACKSONVILLE,DUVAL,Urban,Four-Way Intersection,GILLESPIE AVE,DRURY LN,Motor Vehicle in Transport,1,0,2,2,0,0,0,3,3,February,Sunday,Clear,Daylight,30.1169,-81.6026
120112,FLORIDA,SEBASTIAN,INDIAN RIVER,Urban,Not an Intersection,BLOSSOM DR,,Motor Vehicle in Transport,1,0,2,2,0,0,0,2,2,February,Sunday,Clear,Daylight,27.7859,-80.4993
120113,FLORIDA,OPA-LOCKA,MIAMI-DADE,Urban,T-Intersection,SR-953,133RD ST,Motor Vehicle in Transport,2,0,2,2,0,0,0,2,2,February,Thursday,Clear,Daylight,25.8945,-80.2675
120114,FLORIDA,Not Applicable,GILCHRIST,Rural,Not an Intersection,SR-47,,Motor Vehicle in Transport,1,0,2,2,0,0,0,2,2,February,Friday,Clear,Dark - Not Lighted,29.8626,-82.7412
120115,FLORIDA,Not Applicable,MARION,Rural,Four-Way Intersection,US-301,132 ST RD,Motor Vehicle in Transport,1,0,2,2,0,0,0,2,2,February,Wednesday,Clear,Daylight,29.0291,-82.0450
120116,FLORIDA,Not Applicable,HILLSBOROUGH,Urban,T-Intersection,US-301,ESTATES DEL SOL DR,Rollover/Overturn,1,0,2,2,0,0,0,4,4,February,Monday,Cloudy,Dark - Lighted,27.8151,-82.3321
120117,FLORIDA,Not Applicable,BAKER,Rural,Not an Intersection,CR-250,,Rollover/Overturn,1,1,1,1,0,0,0,1,1,February,Wednesday,Clear,Dark - Not Lighted,30.3888,-82.3312
120118,FLORIDA,Not Applicable,POLK,Urban,Not an Intersection,I-4,,Cable Barrier,1,0,1,1,0,0,0,2,2,February,Tuesday,Rain,Dark - Not Lighted,28.1575,-81.8252
120119,FLORIDA,Not Applicable,VOLUSIA,Urban,Not an Intersection,US-1,,Pedestrian,2,0,2,2,0,2,2,3,3,January,Sunday,Clear,Dark - Not Lighted,29.1017,-80.9712
120120,FLORIDA,HIALEAH,MIAMI-DADE,Urban,Not an Intersection,SR-826,,Motor Vehicle in Transport,1,0,2,2,0,0,0,2,2,February,Saturday,Clear,Dark - Lighted,25.8752,-80.3233
120121,FLORIDA,Not Applicable,SUMTER,Rural,Not an Intersection,CR-466,,Traffic Sign Support,2,0,3,3,0,1,1,5,5,February,Saturday,Clear,Daylight,28.8652,-81.9573
120122,FLORIDA,Not Applicable,HERNANDO,Rural,Not an Intersection,OSOWAW BLVD,,Rollover/Overturn,1,0,2,2,0,0,0,2,2,February,Saturday,Clear,Daylight,28.3994,-82.6600
120123,FLORIDA,POMPANO BEACH,BROWARD,Urban,Not an Intersection,I-95,,Tree (Standing Only),1,0,1,1,0,0,0,3,3,February,Wednesday,Cloudy,Dark - Lighted,26.2569,-80.1365
120124,FLORIDA,JACKSONVILLE,DUVAL,Urban,Not an Intersection,US-1,,Curb,1,1,1,1,0,0,0,2,2,February,Sunday,Cloudy,Dark - Lighted,30.2441,-81.6002
120125,FLORIDA,Not Applicable,MANATEE,Urban,Four-Way Intersection,US-301,63RD AVE,Motor Vehicle in Transport,2,1,2,2,0,0,0,3,3,February,Wednesday,Clear,Dark - Lighted,27.4291,-82.5303
120126,FLORIDA,LAKELAND,POLK,Urban,Not an Intersection,I-4,,Motor Vehicle in Transport,1,0,2,2,0,0,0,2,2,February,Tuesday,Clear,Dark - Lighted,28.1516,-81.8561
120127,FLORIDA,Not Applicable,PASCO,Rural,Four-Way Intersection,US-301,CHANCEY RD,Motor Vehicle in Transport,1,0,2,2,0,0,0,3,3,January,Tuesday,Cloudy,Daylight,28.2081,-82.1853
120128,FLORIDA,Not Applicable,HIGHLANDS,Rural,T-Intersection,US-98,CR-721,Tree (Standing Only),1,1,1,1,0,0,0,2,2,January,Saturday,"Fog, Smog, Smoke",Dark - Not Lighted,27.3623,-81.0539
120129,FLORIDA,Not Applicable,HILLSBOROUGH,Urban,Not an Intersection,US-41,,Motor Vehicle in Transport,1,1,2,2,0,0,0,2,2,January,Thursday,Clear,Dark - Not Lighted,27.7015,-82.4541
120130,FLORIDA,Not Applicable,MANATEE,Rural,Not an Intersection,VERNA BETHANY RD,,Motor Vehicle in Transport,1,0,3,3,0,0,0,7,7,January,Friday,Clear,Daylight,27.4268,-82.2707
120131,FLORIDA,Not Applicable,BREVARD,Rural,Four-Way Intersection,SR-501,ROSENTINE ST,Motor Vehicle in Transport,2,1,3,3,0,0,0,5,5,January,Sunday,Clear,Dark - Lighted,28.3818,-80.7550
120132,FLORIDA,PALM BEACH GARDENS,PALM BEACH,Urban,Not an Intersection,BURNS ROAD,,Motor Vehicle in Transport,1,0,4,4,0,0,0,4,4,February,Friday,Cloudy,Daylight,26.8307,-80.0869
120134,FLORIDA,CHIEFLAND,LEVY,Rural,Not an Intersection,US-19,,Culvert,1,0,1,1,0,0,0,1,1,February,Wednesday,Cloudy,Daylight,29.5061,-82.8730
120135,FLORIDA,Not Applicable,MIAMI-DADE,Urban,T-Intersection,US-1 SR-5,SW 137TH AVE,Motor Vehicle in Transport,1,0,2,2,0,0,0,5,5,January,Sunday,Clear,Daylight,25.5345,-80.4127
120136,FLORIDA,Not Applicable,PASCO,Urban,Not an Intersection,CR-1,,Utility Pole/Light Support,2,1,1,1,0,0,0,2,2,January,Saturday,Rain,Dark - Not Lighted,28.3638,-82.6661
