ST_CASE,STATE_NAME,CITY_NAME,COUNTY_NAME,RUR_URB_NAME,TYP_INT_NAME,TWAY_ID,TWAY_ID2,HARM_EV_NAME,FATALS,DRUNK_DR,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERNOTMVIT,PERMVIT,PERSONS,MONTH_NAME,DAY_WEEK_NAME,WEATHER_NAME,LGT_COND_NAME,LATITUDE,LONGITUD
120880,FLORIDA,Not Applicable,PASCO,Rural,Not an Intersection,SR-52,,Pedestrian,1,0,1,1,0,1,1,1,1,April,Monday,Clear,Dark - Not Lighted,28.3290,-82.5841
120881,FLORIDA,Not Applicable,CLAY,Rural,T-Intersection,SR-21,CR-315 C,Motor Vehicle in Transport,1,0,2,2,0,0,0,3,3,May,Thursday,Clear,Dark - Not Lighted,29.8773,-81.9264
120882,FLORIDA,JACKSONVILLE,DUVAL,Rural,Not an Intersection,POST ST,,Non-Motorist on Personal Conveyance,1,0,1,1,0,1,1,1,1,May,Wednesday,Cloudy,Daylight,30.3154,-81.6823
120883,FLORIDA,Not Applicable,POLK,Rural,Not an Intersection,OLD DADE CITY RD,,Mail Box,1,1,1,1,0,0,0,2,2,April,Saturday,Cloudy,Dark - Not Lighted,28.1897,-82.0220
120884,FLORIDA,Not Applicable,BREVARD,Urban,Not an Intersection,HOLDER RD,,Tree (Standing Only),1,1,1,1,0,0,0,1,1,May,Thursday,Clear,Dark - Not Lighted,28.6563,-80.8650
120885,FLORIDA,Not Applicable,MANATEE,Urban,Not an Intersection,US-41,,Motor Vehicle in Transport,1,1,3,3,0,0,0,5,5,May,Friday,Clear,Dark - Lighted,27.5473,-82.5638
120886,FLORIDA,Not Applicable,LEE,Urban,Not an Intersection,ALABAMA ROAD,,Non-Motorist on Personal Conveyance,1,0,1,1,0,1,1,1,1,April,Friday,Cloudy,Dusk,26.5692,-81.6618
120887,FLORIDA,Not Applicable,POLK,Rural,Not an Intersection,SR-60,,Rollover/Overturn,1,0,1,1,0,0,0,3,3,April,Tuesday,Clear,Dark - Not Lighted,27.9104,-81.6838
120888,FLORIDA,LAKELAND,POLK,Urban,T-Intersection,SR-33,I-4 RAMP,Motor Vehicle in Transport,1,1,2,2,0,0,0,2,2,May,Friday,Clear,Dark - Lighted,28.1392,-81.9025
120889,FLORIDA,Not Applicable,MIAMI-DADE,Urban,Not an Intersection,US-1,,Pedestrian,1,0,1,1,0,1,1,1,1,April,Friday,Clear,Dark - Lighted,25.4551,-80.4751
120890,FLORIDA,JACKSONVILLE,DUVAL,Urban,Not an Intersection,I-95,,Pedestrian,1,0,1,1,0,1,1,1,1,April,Friday,Clear,Dark - Not Lighted,30.2982,-81.6378
120891,FLORIDA,Not Applicable,MANATEE,Urban,Not an Intersection,US-41,,Utility Pole/Light Support,1,1,1,1,0,0,0,1,1,May,Thursday,Clear,Dark - Not Lighted,27.4182,-82.5754
